Federated_Learning | INFO flwr 2024-04-29 14:18:27,202 | server.py:111 | [ROUND 23]
Federated_Learning | INFO flwr 2024-04-29 14:18:27,202 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:19:38,907 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:19:38,910 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:19:50,689 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:19:50,690 | server.py:59 | {'accuracy': 0.555488902219556, 'loss': 131.53151402870813}
Federated_Learning | INFO flwr 2024-04-29 14:19:50,690 | strategy.py:293 | There was a delay of 83.48808 seconds for round 23
Federated_Learning | INFO flwr 2024-04-29 14:19:50,690 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:19:50,691 | server.py:111 | [ROUND 24]
Federated_Learning | INFO flwr 2024-04-29 14:19:50,691 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:20:57,830 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:20:57,832 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:21:11,690 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:21:11,690 | server.py:59 | {'accuracy': 0.5453909218156369, 'loss': 132.28278174002966}
Federated_Learning | INFO flwr 2024-04-29 14:21:11,691 | strategy.py:293 | There was a delay of 80.999927 seconds for round 24
Federated_Learning | INFO flwr 2024-04-29 14:21:11,691 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:21:11,691 | server.py:111 | [ROUND 25]
Federated_Learning | INFO flwr 2024-04-29 14:21:11,692 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:22:17,299 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:22:17,301 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:22:28,770 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:22:28,770 | server.py:59 | {'accuracy': 0.5555888822235553, 'loss': 128.84325834115347}
Federated_Learning | INFO flwr 2024-04-29 14:22:28,771 | strategy.py:293 | There was a delay of 77.079572 seconds for round 25
Federated_Learning | INFO flwr 2024-04-29 14:22:28,771 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:22:28,771 | server.py:111 | [ROUND 26]
Federated_Learning | INFO flwr 2024-04-29 14:22:28,772 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:23:40,143 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:23:40,145 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:23:50,716 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:23:50,717 | server.py:59 | {'accuracy': 0.5691861627674465, 'loss': 126.55031539996465}
Federated_Learning | INFO flwr 2024-04-29 14:23:50,717 | strategy.py:293 | There was a delay of 81.945899 seconds for round 26
Federated_Learning | INFO flwr 2024-04-29 14:23:50,717 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:23:50,717 | server.py:111 | [ROUND 27]
Federated_Learning | INFO flwr 2024-04-29 14:23:50,718 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:24:49,931 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:24:49,933 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:24:59,586 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:24:59,586 | server.py:59 | {'accuracy': 0.5724855028994201, 'loss': 126.02469531695048}
Federated_Learning | INFO flwr 2024-04-29 14:24:59,586 | strategy.py:293 | There was a delay of 68.869003 seconds for round 27
Federated_Learning | INFO flwr 2024-04-29 14:24:59,587 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:24:59,587 | server.py:111 | [ROUND 28]
Federated_Learning | INFO flwr 2024-04-29 14:24:59,588 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:26:00,266 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:26:00,268 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
